QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,Product_SK,PRODUCTCODE,Customer_SK,COUNTRY,DEALSIZE
45,100,4,5566.5,Shipped,4,11,2004,Motorcycles,118,73,S10_2016,73,USA,Medium
20,100,2,3176,Shipped,4,11,2004,Motorcycles,118,74,S10_2016,74,USA,Medium
40,68.92,4,2756.8,Shipped,4,11,2004,Motorcycles,118,75,S10_2016,75,Japan,Small
26,51.15,8,1329.9,Shipped,4,12,2004,Motorcycles,118,76,S10_2016,76,Australia,Small
39,100,5,5288.01,Shipped,1,2,2005,Motorcycles,118,77,S10_2016,77,Australia,Medium
50,44.51,5,2225.5,Shipped,1,3,2005,Motorcycles,118,78,S10_2016,78,USA,Small
45,100,1,5833.8,Shipped,2,4,2005,Motorcycles,118,79,S10_2016,79,France,Medium
45,100,5,5887.35,Disputed,2,5,2005,Motorcycles,118,80,S10_2016,80,Spain,Medium
27,100,4,6065.55,Shipped,1,2,2003,Motorcycles,193,81,S10_4698,81,USA,Medium
46,100,2,9264.86,Shipped,2,4,2003,Motorcycles,193,82,S10_4698,82,Australia,Large
31,100,4,7023.98,Shipped,3,7,2003,Motorcycles,193,83,S10_4698,83,France,Large
33,100,8,5176.38,Shipped,3,8,2003,Motorcycles,193,84,S10_4698,84,USA,Medium
22,100,16,4132.7,Shipped,4,10,2003,Motorcycles,193,85,S10_4698,85,USA,Medium
20,100,3,4183,Shipped,4,10,2003,Motorcycles,193,86,S10_4698,86,USA,Medium
41,100,11,8892.9,Shipped,4,11,2003,Motorcycles,193,87,S10_4698,87,France,Large
45,100,3,8714.7,Shipped,4,11,2003,Motorcycles,193,88,S10_4698,88,Norway,Large
49,100,4,8065.89,Shipped,4,12,2003,Motorcycles,193,89,S10_4698,89,USA,Large
34,100,1,6123.4,Shipped,1,1,2004,Motorcycles,193,90,S10_4698,90,Japan,Medium
49,100,3,9774.03,Shipped,1,2,2004,Motorcycles,193,91,S10_4698,91,Australia,Large
39,100,9,7023.9,Shipped,2,4,2004,Motorcycles,193,92,S10_4698,92,USA,Large
43,100,4,7078.23,Shipped,2,5,2004,Motorcycles,193,93,S10_4698,93,USA,Large
41,100,4,8336.94,Shipped,2,6,2004,Motorcycles,193,94,S10_4698,94,USA,Large
36,100,3,6901.92,Shipped,3,7,2004,Motorcycles,193,95,S10_4698,95,France,Medium
27,100,8,5438.07,Shipped,3,8,2004,Motorcycles,193,96,S10_4698,96,USA,Medium
29,100,11,6683.34,Shipped,3,9,2004,Motorcycles,193,97,S10_4698,97,Finland,Medium
20,100,1,4570.4,Shipped,4,10,2004,Motorcycles,193,98,S10_4698,98,USA,Medium
37,100,3,7667.14,Shipped,4,11,2004,Motorcycles,193,99,S10_4698,99,USA,Large
26,100,3,5868.2,Shipped,4,11,2004,Motorcycles,193,100,S10_4698,100,USA,Medium
39,76.67,3,2990.13,Shipped,4,11,2004,Motorcycles,193,101,S10_4698,101,Japan,Small
22,100,4,3664.1,Shipped,1,1,2005,Motorcycles,193,102,S10_4698,102,USA,Medium
22,100,1,3834.38,Shipped,1,2,2005,Motorcycles,193,103,S10_4698,103,Australia,Medium
21,86.77,7,1822.17,Shipped,1,3,2005,Motorcycles,193,104,S10_4698,104,USA,Small
66,100,9,11886.6,Shipped,2,4,2005,Motorcycles,193,105,S10_4698,105,UK,Large
56,100,4,9218.16,Disputed,2,5,2005,Motorcycles,193,106,S10_4698,106,Spain,Large
50,100,2,7208,Shipped,1,2,2003,Classic Cars,136,107,S10_4757,107,Denmark,Large
46,100,11,5004.8,Shipped,2,4,2003,Classic Cars,136,108,S10_4757,108,Austria,Medium
33,100,2,4398.24,Shipped,2,6,2003,Classic Cars,136,109,S10_4757,109,UK,Medium
49,100,15,5597.76,Shipped,3,8,2003,Classic Cars,136,110,S10_4757,110,USA,Medium
32,100,13,4526.08,Shipped,4,10,2003,Classic Cars,136,111,S10_4757,111,Finland,Medium
44,100,9,5924.16,Cancelled,4,10,2003,Classic Cars,136,112,S10_4757,112,Sweden,Medium
24,100,12,3492.48,Shipped,4,11,2003,Classic Cars,136,113,S10_4757,113,France,Medium
26,100,9,3854.24,Shipped,4,11,2003,Classic Cars,136,114,S10_4757,114,UK,Medium
45,100,6,5324.4,Shipped,4,11,2003,Classic Cars,136,115,S10_4757,115,Spain,Medium
39,100,8,5197.92,Shipped,1,1,2004,Classic Cars,136,116,S10_4757,116,USA,Medium
49,100,12,5997.6,Shipped,1,2,2004,Classic Cars,136,117,S10_4757,117,USA,Medium
20,100,3,2910.4,Cancelled,2,5,2004,Classic Cars,136,118,S10_4757,118,USA,Small
27,100,1,3378.24,Shipped,2,6,2004,Classic Cars,136,119,S10_4757,119,Canada,Medium
30,100,4,3508.8,Shipped,3,7,2004,Classic Cars,136,120,S10_4757,120,Belgium,Medium
25,100,6,2992,Shipped,3,8,2004,Classic Cars,136,121,S10_4757,121,Canada,Small
24,100,1,3427.2,Shipped,3,9,2004,Classic Cars,136,122,S10_4757,122,USA,Medium
22,100,9,2692.8,Shipped,4,10,2004,Classic Cars,136,123,S10_4757,123,USA,Small
33,100,17,4128.96,Shipped,4,11,2004,Classic Cars,136,124,S10_4757,124,UK,Medium
47,64.93,6,3051.71,Shipped,4,11,2004,Classic Cars,136,125,S10_4757,125,Norway,Medium
25,48.05,8,1201.25,Shipped,4,11,2004,Classic Cars,136,126,S10_4757,126,USA,Small
26,75.47,5,1962.22,Shipped,4,12,2004,Classic Cars,136,127,S10_4757,127,Spain,Small
48,54.68,6,2624.64,Shipped,4,12,2004,Classic Cars,136,128,S10_4757,128,France,Small
39,100,3,4046.25,Shipped,1,1,2005,Classic Cars,136,129,S10_4757,129,Finland,Medium
34,100,4,4846.7,Shipped,1,2,2005,Classic Cars,136,130,S10_4757,130,USA,Medium
32,100,2,3370.56,Shipped,1,3,2005,Classic Cars,136,131,S10_4757,131,France,Medium
64,100,9,9661.44,Shipped,2,4,2005,Classic Cars,136,132,S10_4757,132,USA,Large
19,100,3,2764.88,On Hold,2,5,2005,Classic Cars,136,133,S10_4757,133,USA,Small
42,100,4,5398.26,Shipped,1,1,2003,Classic Cars,147,134,S10_4962,134,Norway,Medium
31,100,8,4305.28,Shipped,2,4,2003,Classic Cars,147,135,S10_4962,135,France,Medium
22,100,4,3347.74,Shipped,2,5,2003,Classic Cars,147,136,S10_4962,136,Spain,Medium
26,100,4,3188.12,Shipped,3,7,2003,Classic Cars,147,137,S10_4962,137,USA,Medium
20,100,1,3191.2,Shipped,3,9,2003,Classic Cars,147,138,S10_4962,138,Singapore,Medium
21,100,2,3536.82,Resolved,4,10,2003,Classic Cars,147,139,S10_4962,139,Austria,Medium
33,100,9,5362.83,Shipped,4,11,2003,Classic Cars,147,140,S10_4962,140,UK,Medium
28,100,1,3433.36,Shipped,4,11,2003,Classic Cars,147,141,S10_4962,141,USA,Medium
26,100,4,4263.74,Shipped,4,11,2003,Classic Cars,147,142,S10_4962,142,France,Medium
31,100,15,4076.19,Shipped,4,12,2003,Classic Cars,147,143,S10_4962,143,USA,Medium
48,100,4,7020.48,Shipped,1,2,2004,Classic Cars,147,144,S10_4962,144,Singapore,Large
50,100,9,6426.5,Shipped,1,3,2004,Classic Cars,147,145,S10_4962,145,USA,Medium
28,100,2,4591.72,Shipped,2,5,2004,Classic Cars,147,146,S10_4962,146,USA,Medium
26,100,12,4033.38,Shipped,2,6,2004,Classic Cars,147,147,S10_4962,147,Singapore,Medium
32,100,2,4302.08,Shipped,3,7,2004,Classic Cars,147,148,S10_4962,148,Australia,Medium
44,100,9,7020.64,Shipped,3,8,2004,Classic Cars,147,149,S10_4962,149,USA,Large
30,100,4,3855.9,Shipped,3,9,2004,Classic Cars,147,150,S10_4962,150,Sweden,Medium
38,100,13,6680.78,Shipped,4,10,2004,Classic Cars,147,151,S10_4962,151,USA,Medium
40,100,7,6678,Shipped,4,10,2004,Classic Cars,147,152,S10_4962,152,Canada,Medium
46,61.99,8,2851.54,Shipped,4,11,2004,Classic Cars,147,153,S10_4962,153,USA,Small
26,100,2,3188.12,On Hold,4,11,2004,Classic Cars,147,154,S10_4962,154,Sweden,Medium
27,100,2,4428,Shipped,4,11,2004,Classic Cars,147,155,S10_4962,155,Australia,Medium
43,100,9,5780.92,Shipped,4,12,2004,Classic Cars,147,156,S10_4962,156,USA,Medium
35,65.63,4,2297.05,Shipped,1,1,2005,Classic Cars,147,157,S10_4962,157,Australia,Small
37,100,6,6231.54,Shipped,1,2,2005,Classic Cars,147,158,S10_4962,158,USA,Medium
37,46.9,7,1735.3,Shipped,1,3,2005,Classic Cars,147,159,S10_4962,159,Australia,Small
27,100,2,4427.73,Shipped,2,5,2005,Classic Cars,147,160,S10_4962,160,Canada,Medium
38,100,12,5894.94,In Process,2,5,2005,Classic Cars,147,161,S10_4962,161,France,Medium
33,100,6,5265.15,Shipped,1,3,2003,Classic Cars,194,162,S12_1099,162,Philippines,Medium
42,100,10,7599.9,Shipped,2,5,2003,Classic Cars,194,163,S12_1099,163,France,Large
42,100,7,8008.56,Shipped,3,7,2003,Classic Cars,194,164,S12_1099,164,USA,Large
48,100,7,9245.76,Shipped,3,9,2003,Classic Cars,194,165,S12_1099,165,USA,Large
41,100,2,8296.35,Shipped,4,10,2003,Classic Cars,194,166,S12_1099,166,USA,Large
30,100,2,5019.9,Shipped,4,11,2003,Classic Cars,194,167,S12_1099,167,Australia,Medium
27,100,14,5411.07,Shipped,4,11,2003,Classic Cars,194,168,S12_1099,168,Norway,Medium
21,100,3,3840.9,Shipped,4,11,2003,Classic Cars,194,169,S12_1099,169,Germany,Medium
20,100,8,3930.4,Shipped,4,12,2003,Classic Cars,194,170,S12_1099,170,Spain,Medium
41,100,2,7498.9,Shipped,1,1,2004,Classic Cars,194,171,S12_1099,171,France,Large
27,100,9,4517.91,Shipped,1,2,2004,Classic Cars,194,172,S12_1099,172,Switzerland,Medium
28,100,3,5774.72,Shipped,2,4,2004,Classic Cars,194,173,S12_1099,173,Denmark,Medium
24,100,13,3922.56,Cancelled,2,6,2004,Classic Cars,194,174,S12_1099,174,UK,Medium
44,100,14,9160.36,Shipped,3,7,2004,Classic Cars,194,175,S12_1099,175,Italy,Large
50,100,3,9631,Shipped,3,8,2004,Classic Cars,194,176,S12_1099,176,USA,Large
21,100,12,3432.24,Shipped,3,8,2004,Classic Cars,194,177,S12_1099,177,Switzerland,Medium
33,100,5,5521.89,Shipped,4,10,2003,Classic Cars,194,178,S12_1099,178,Germany,Medium
33,100,10,6934.62,Shipped,4,10,2004,Classic Cars,194,179,S12_1099,179,Germany,Medium
31,100,3,6876.11,Shipped,4,11,2004,Classic Cars,194,180,S12_1099,180,Sweden,Medium
41,71.47,5,2930.27,Shipped,4,11,2004,Classic Cars,194,181,S12_1099,181,USA,Small
45,79.65,2,3584.25,Shipped,4,11,2004,Classic Cars,194,182,S12_1099,182,Austria,Medium
33,85.39,3,2817.87,Shipped,1,1,2005,Classic Cars,194,183,S12_1099,183,Finland,Small
45,76,7,3420,Shipped,1,2,2005,Classic Cars,194,184,S12_1099,184,France,Medium
26,99.04,4,2575.04,Shipped,1,3,2005,Classic Cars,194,185,S12_1099,185,Sweden,Small
12,100,13,1961.28,Shipped,2,5,2005,Classic Cars,194,186,S12_1099,186,Austria,Small
41,100,15,8690.36,Shipped,1,2,2003,Classic Cars,207,187,S12_1108,187,Denmark,Large
33,100,9,6034.38,Shipped,2,4,2003,Classic Cars,207,188,S12_1108,188,Singapore,Medium
46,100,2,11279.2,Shipped,2,6,2003,Classic Cars,207,189,S12_1108,189,USA,Large
33,100,12,8023.29,Shipped,3,8,2003,Classic Cars,207,190,S12_1108,190,USA,Large
20,100,11,4904,Shipped,3,9,2003,Classic Cars,207,191,S12_1108,191,Spain,Medium
44,100,3,8594.52,Shipped,4,10,2003,Classic Cars,207,192,S12_1108,192,Singapore,Large
33,100,2,7474.5,Shipped,4,11,2003,Classic Cars,207,193,S12_1108,193,Italy,Large
21,100,13,3883.74,Shipped,4,11,2003,Classic Cars,207,194,S12_1108,194,USA,Medium
47,100,5,8887.7,Shipped,4,11,2003,Classic Cars,207,195,S12_1108,195,USA,Large
46,100,13,8602.92,Shipped,1,1,2004,Classic Cars,207,196,S12_1108,196,France,Large
32,100,2,7181.44,Shipped,1,2,2004,Classic Cars,207,197,S12_1108,197,Ireland,Large
42,100,2,8378.58,Shipped,1,3,2004,Classic Cars,207,198,S12_1108,198,Spain,Large
44,100,2,10606.2,Shipped,2,5,2004,Classic Cars,207,199,S12_1108,199,Finland,Large
35,100,2,5818.4,Shipped,3,7,2004,Classic Cars,207,200,S12_1108,200,USA,Medium
41,100,5,7071.27,Shipped,3,8,2004,Classic Cars,207,201,S12_1108,201,USA,Large
46,100,8,8411.56,Shipped,3,9,2004,Classic Cars,207,202,S12_1108,202,Italy,Large
31,100,13,6570.76,Shipped,4,10,2004,Classic Cars,207,203,S12_1108,203,UK,Medium
38,100,5,7975.44,Shipped,4,10,2004,Classic Cars,207,204,S12_1108,204,Denmark,Large
42,64,8,2688,Shipped,4,11,2004,Classic Cars,207,205,S12_1108,205,Norway,Small
33,57.22,10,1888.26,Shipped,4,11,2004,Classic Cars,207,206,S12_1108,206,France,Small
48,52.36,8,2513.28,Shipped,4,11,2004,Classic Cars,207,207,S12_1108,207,Spain,Small
42,100,8,4764.48,Shipped,4,12,2004,Classic Cars,207,208,S12_1108,208,France,Medium
32,100,6,3560.64,Shipped,1,1,2005,Classic Cars,207,209,S12_1108,209,USA,Medium
34,100,10,3823.64,Shipped,1,2,2005,Classic Cars,207,210,S12_1108,210,USA,Medium
33,69.12,1,2280.96,Shipped,1,3,2005,Classic Cars,207,211,S12_1108,211,France,Small
36,100,2,8677.8,Shipped,2,5,2005,Classic Cars,207,212,S12_1108,212,USA,Large
27,100,8,3394.98,Shipped,1,1,2003,Trucks and Buses,136,213,S12_1666,213,Norway,Medium
21,100,2,3415.44,Shipped,1,3,2003,Trucks and Buses,136,214,S12_1666,214,USA,Medium
21,100,8,2439.57,Shipped,2,5,2003,Trucks and Buses,136,215,S12_1666,215,Spain,Small
38,100,8,4829.8,Shipped,3,7,2003,Trucks and Buses,136,216,S12_1666,216,USA,Medium
30,100,5,4100.1,Shipped,3,9,2003,Trucks and Buses,136,217,S12_1666,217,Singapore,Medium
49,100,6,6563.06,Resolved,4,10,2003,Trucks and Buses,136,218,S12_1666,218,Austria,Medium
43,100,1,6817.22,Shipped,4,11,2003,Trucks and Buses,136,219,S12_1666,219,Australia,Medium
41,100,5,6163.94,Shipped,4,11,2003,Trucks and Buses,136,220,S12_1666,220,USA,Medium
38,100,8,4933.92,Shipped,4,11,2003,Trucks and Buses,136,221,S12_1666,221,France,Medium
28,100,3,4056.36,Shipped,4,12,2003,Trucks and Buses,136,222,S12_1666,222,Canada,Medium
43,100,1,5759.42,Shipped,1,2,2004,Trucks and Buses,136,223,S12_1666,223,France,Medium
25,100,13,3451,Shipped,1,3,2004,Trucks and Buses,136,224,S12_1666,224,USA,Medium
38,100,6,5920.4,Shipped,2,5,2004,Trucks and Buses,136,225,S12_1666,225,USA,Medium
41,100,3,6668.24,Shipped,2,6,2004,Trucks and Buses,136,226,S12_1666,226,Japan,Medium
28,100,6,4094.72,Shipped,3,7,2004,Trucks and Buses,136,227,S12_1666,227,Australia,Medium
25,100,13,2938.5,Shipped,3,8,2004,Trucks and Buses,136,228,S12_1666,228,USA,Small
41,100,8,6387.8,Shipped,3,9,2004,Trucks and Buses,136,229,S12_1666,229,Sweden,Medium
39,100,3,6396,Shipped,4,10,2004,Trucks and Buses,136,230,S12_1666,230,France,Medium
21,100,11,2669.1,Shipped,4,10,2004,Trucks and Buses,136,231,S12_1666,231,Canada,Small
27,100,9,4784.13,Shipped,4,11,2004,Trucks and Buses,136,232,S12_1666,232,USA,Medium
33,99.21,6,3273.93,Shipped,4,11,2004,Trucks and Buses,136,233,S12_1666,233,USA,Medium
29,100,3,3586.43,Shipped,4,11,2004,Trucks and Buses,136,234,S12_1666,234,Australia,Medium
49,100,8,5960.36,Shipped,4,12,2004,Trucks and Buses,136,235,S12_1666,235,USA,Medium
49,100,8,8470.14,Shipped,1,1,2005,Trucks and Buses,136,236,S12_1666,236,Australia,Large
20,100,1,2952,Shipped,1,2,2005,Trucks and Buses,136,237,S12_1666,237,USA,Small
39,63.2,9,2464.8,Shipped,1,3,2005,Trucks and Buses,136,238,S12_1666,238,Australia,Small
40,100,6,6232,Shipped,2,5,2005,Trucks and Buses,136,239,S12_1666,239,Canada,Medium
49,100,3,7969.36,In Process,2,5,2005,Trucks and Buses,136,240,S12_1666,240,Spain,Large
21,100,1,3036.6,Shipped,1,2,2003,Motorcycles,150,241,S12_2823,241,USA,Medium
50,100,4,8284,Shipped,2,5,2003,Motorcycles,150,242,S12_2823,242,France,Large
20,100,1,2711.2,Shipped,3,7,2003,Motorcycles,150,243,S12_2823,243,France,Small
49,100,5,8339.8,Shipped,3,8,2003,Motorcycles,150,244,S12_2823,244,USA,Large
38,100,13,6238.84,Shipped,4,10,2003,Motorcycles,150,245,S12_2823,245,USA,Medium
35,100,13,4639.25,Shipped,4,11,2003,Motorcycles,150,246,S12_2823,246,Australia,Medium
40,100,8,6747.6,Shipped,4,11,2003,Motorcycles,150,247,S12_2823,247,France,Medium
28,100,1,4512.48,Shipped,4,11,2003,Motorcycles,150,248,S12_2823,248,USA,Medium
25,100,1,4029,Shipped,4,12,2003,Motorcycles,150,249,S12_2823,249,USA,Medium
36,100,13,4771.8,Shipped,1,1,2004,Motorcycles,150,250,S12_2823,250,France,Medium
43,100,6,6087.94,Shipped,1,2,2004,Motorcycles,150,251,S12_2823,251,France,Medium
32,100,6,4193.28,Shipped,2,4,2004,Motorcycles,150,252,S12_2823,252,USA,Medium
46,100,1,7552.28,Shipped,2,5,2004,Motorcycles,150,253,S12_2823,253,USA,Large
48,100,1,6434.4,Shipped,2,6,2004,Motorcycles,150,254,S12_2823,254,USA,Medium
43,100,14,5181.5,Shipped,3,8,2004,Motorcycles,150,255,S12_2823,255,USA,Medium
49,100,5,6863.92,Shipped,3,8,2004,Motorcycles,150,256,S12_2823,256,USA,Medium
24,100,8,4157.04,Shipped,3,9,2004,Motorcycles,150,257,S12_2823,257,Finland,Medium
26,100,4,4660.24,Shipped,4,10,2004,Motorcycles,150,258,S12_2823,258,Norway,Medium
30,100,9,4111.8,Shipped,4,11,2004,Motorcycles,150,259,S12_2823,259,USA,Medium
24,100,6,3542.64,Shipped,4,11,2004,Motorcycles,150,260,S12_2823,260,USA,Medium
55,100,8,8118.55,Shipped,4,11,2004,Motorcycles,150,261,S12_2823,261,Austria,Large
22,100,1,3877.06,Shipped,1,1,2005,Motorcycles,150,262,S12_2823,262,USA,Medium
49,78.92,13,3867.08,Shipped,1,2,2005,Motorcycles,150,263,S12_2823,263,France,Medium
44,100,6,5951.44,Shipped,1,3,2005,Motorcycles,150,264,S12_2823,264,USA,Medium
66,100,6,8648.64,Shipped,2,4,2005,Motorcycles,150,265,S12_2823,265,UK,Large
21,100,1,3447.78,Disputed,2,5,2005,Motorcycles,150,266,S12_2823,266,Spain,Medium
34,100,1,5958.5,Shipped,1,1,2003,Classic Cars,151,267,S12_3148,267,Spain,Medium
43,100,10,5911.64,Shipped,2,4,2003,Classic Cars,151,268,S12_3148,268,Singapore,Medium
46,100,3,7366.44,Shipped,2,6,2003,Classic Cars,151,269,S12_3148,269,USA,Large
33,100,13,4985.64,Shipped,3,8,2003,Classic Cars,151,270,S12_3148,270,USA,Medium
42,100,12,5393.64,Shipped,3,9,2003,Classic Cars,151,271,S12_3148,271,Spain,Medium
34,100,4,4880.02,Shipped,4,10,2003,Classic Cars,151,272,S12_3148,272,Singapore,Medium
47,100,3,8378.69,Shipped,4,11,2003,Classic Cars,151,273,S12_3148,273,Italy,Large
33,100,14,4038.21,Shipped,4,11,2003,Classic Cars,151,274,S12_3148,274,USA,Medium
24,100,6,3807.12,Shipped,4,11,2003,Classic Cars,151,275,S12_3148,275,USA,Medium
26,100,14,3142.36,Shipped,1,1,2004,Classic Cars,151,276,S12_3148,276,France,Medium
30,100,3,4713.6,Shipped,1,2,2004,Classic Cars,151,277,S12_3148,277,Ireland,Medium
43,100,1,7016.31,Shipped,1,3,2004,Classic Cars,151,278,S12_3148,278,Germany,Large
25,100,3,4381.25,Shipped,2,5,2004,Classic Cars,151,279,S12_3148,279,Finland,Medium
